dupe,w1,w2,col,p1,p2,len1,len2,lev,let1,let2,a,h,i
True,ALASKA,AK,agent_state,2.404090158723375e-05,1.335605643735208e-05,6,2,4,True,True,False,False,False
True,ID,IDAHO,agent_state,2.136969029976333e-05,1.60272677248225e-05,2,5,3,True,True,False,False,False
True,ND,NORTH DAKOTA,agent_state,1.8698479012292914e-05,1.60272677248225e-05,2,12,10,True,True,False,False,False
True,SD,SOUTH DAKOTA,agent_state,1.60272677248225e-05,1.335605643735208e-05,2,12,10,True,True,False,False,False
True,WEST VIRGINIA,WV,agent_state,5.3424225749408315e-06,2.6712112874704157e-06,13,2,11,True,True,False,False,False
True,Level Dollar Closed,Level DollarClosed,FundingMeth_GASB,0.1051470588235294,0.0003676470588235294,19,18,1,True,True,False,False,True
True,CA,CALIFORNIA,foreign_worker_info_state,0.09643874111154443,0.057521863864387936,2,10,8,True,True,False,False,False
True,TX,TEXAS,foreign_worker_info_state,0.032254876296205284,0.020250452770313225,2,5,3,True,True,False,False,False
True,NJ,NEW JERSEY,foreign_worker_info_state,0.028050389729726843,0.01847943968672034,2,10,8,True,True,False,False,False
True,WA,WASHINGTON,foreign_worker_info_state,0.021845165908933064,0.009116844124136532,2,10,8,True,True,False,False,False
True,NY,NEW YORK,foreign_worker_info_state,0.021505922075424323,0.013812833567509522,2,8,6,True,True,False,False,False
True,IL,ILLINOIS,foreign_worker_info_state,0.015866995047574273,0.010810392080392774,2,8,6,True,True,False,False,False
True,FL,FLORIDA,foreign_worker_info_state,0.012471885501199374,0.006910423600685967,2,7,5,True,True,False,False,False
True,MA,MASSACHUSETTS,foreign_worker_info_state,0.012266202232064151,0.007482062816204636,2,13,11,True,True,False,False,False
True,VA,VIRGINIA,foreign_worker_info_state,0.012041820483916638,0.0074259673791677566,2,8,6,True,True,False,False,False
True,GA,GEORGIA,foreign_worker_info_state,0.010730255741768665,0.006344126807742239,2,7,5,True,True,False,False,False
True,NC,NORTH CAROLINA,foreign_worker_info_state,0.00988081055235307,0.005812555761535626,2,14,12,True,True,False,False,False
True,PA,PENNSYLVANIA,foreign_worker_info_state,0.009528210662406977,0.00628268894813042,2,12,10,True,True,False,False,False
True,MI,MICHIGAN,foreign_worker_info_state,0.009213007730485466,0.0047093454998103435,2,8,6,True,True,False,False,False
True,OH,OHIO,foreign_worker_info_state,0.007647677916027802,0.004744071246547459,2,4,2,True,True,False,False,False
True,MD,MARYLAND,foreign_worker_info_state,0.006202552609506307,0.004519689498399944,2,8,6,True,True,False,False,False
True,AZ,ARIZONA,foreign_worker_info_state,0.005751117901923807,0.0038118185072202842,2,7,5,True,True,False,False,False
True,CT,CONNECTICUT,foreign_worker_info_state,0.00525427260245431,0.003798462450782932,2,11,9,True,True,False,False,False
True,MN,MINNESOTA,foreign_worker_info_state,0.004816193951309161,0.003125317206340387,2,9,7,True,True,False,False,False
True,OR,OREGON,foreign_worker_info_state,0.004693318232085521,0.003691613999284115,2,6,4,True,True,False,False,False
True,WI,WISCONSIN,foreign_worker_info_state,0.003838530620094988,0.0023266250313867328,2,9,7,True,True,False,False,False
True,CO,COLORADO,foreign_worker_info_state,0.0037129836895838787,0.0022304614250377975,2,8,6,True,True,False,False,False
True,IN,INDIANA,foreign_worker_info_state,0.0034057943915247807,0.0017790267174552976,2,7,5,True,True,False,False,False
True,MO,MISSOURI,foreign_worker_info_state,0.002911620303342754,0.001757657027155534,2,8,6,True,True,False,False,False
True,TN,TENNESSEE,foreign_worker_info_state,0.002687238555195239,0.001597384349907309,2,9,7,True,True,False,False,False
True,KS,KANSAS,foreign_worker_info_state,0.002342652299111555,0.0012821814179858,2,6,4,True,True,False,False,False
True,IA,IOWA,foreign_worker_info_state,0.0018484782109295282,0.0012928662631356814,2,4,2,True,True,False,False,False
True,DE,DELAWARE,foreign_worker_info_state,0.0016908767449687735,0.0010284163456761102,2,8,6,True,True,False,False,False
True,AL,ALABAMA,foreign_worker_info_state,0.0016828631111063625,0.0010791693601380481,2,7,5,True,True,False,False,False
True,SC,SOUTH CAROLINA,foreign_worker_info_state,0.0016240964627820132,0.0008227330765408883,2,14,12,True,True,False,False,False
True,UT,UTAH,foreign_worker_info_state,0.0014424540952340248,0.0010070466553763467,2,4,2,True,True,False,False,False
True,AR,ARKANSAS,foreign_worker_info_state,0.0014077283484969095,0.0009269103167522343,2,8,6,True,True,False,False,False
True,NH,NEW HAMPSHIRE,foreign_worker_info_state,0.0013863586581971464,0.0008654724571404149,2,13,11,True,True,False,False,False
True,KY,KENTUCKY,foreign_worker_info_state,0.0013836874469096755,0.000814719442678477,2,8,6,True,True,False,False,False
True,OK,OKLAHOMA,foreign_worker_info_state,0.0012367708260988027,0.0006223922299806071,2,8,6,True,True,False,False,False
True,NE,NEBRASKA,foreign_worker_info_state,0.001167319332624572,0.0007906785410912433,2,8,6,True,True,False,False,False
True,LA,LOUISIANA,foreign_worker_info_state,0.0010043754440888766,0.000718555836329542,2,9,7,True,True,False,False,False
True,RI,RHODE ISLAND,foreign_worker_info_state,0.0009429375844770573,0.0005155437784817904,2,12,10,True,True,False,False,False
True,NM,NEW MEXICO,foreign_worker_info_state,0.0008574588232780037,0.0005556119477938466,2,10,8,True,True,False,False,False
True,NV,NEVADA,foreign_worker_info_state,0.0007666376395040095,0.0005182149897692608,2,6,4,True,True,False,False,False
True,DC,DISTRICT OF COLUMBIA,foreign_worker_info_state,0.0007292406814794237,0.0005475983139314354,2,20,18,True,True,False,False,False
True,ID,IDAHO,foreign_worker_info_state,0.000673145244442545,0.0002965044529092162,2,5,3,True,True,False,False,False
True,MS,MISSISSIPPI,foreign_worker_info_state,0.0004968452994694975,0.00022171053686004458,2,11,9,True,True,False,False,False
True,ME,MAINE,foreign_worker_info_state,0.0003899968479706808,0.0003098605093465683,2,5,3,True,True,False,False,False
True,ND,NORTH DAKOTA,foreign_worker_info_state,0.0003793120028207991,0.0002457514384472783,2,12,10,True,True,False,False,False
True,HI,HAWAII,foreign_worker_info_state,0.00032855898835886123,0.00023239538200992623,2,6,4,True,True,False,False,False
True,WV,WEST VIRGINIA,foreign_worker_info_state,0.00030718929805909783,0.00020835448042269252,2,13,11,True,True,False,False,False
True,SD,SOUTH DAKOTA,foreign_worker_info_state,0.00027513476260945287,0.0001762999449730475,2,12,10,True,True,False,False,False
True,AK,ALASKA,foreign_worker_info_state,0.0001789711562605179,0.00011753329664869831,2,6,4,True,True,False,False,False
True,MT,MONTANA,foreign_worker_info_state,0.00017362873368557705,5.075301446193792e-05,2,7,5,True,True,False,False,False
True,PR,PUERTO RICO,foreign_worker_info_state,0.00016561509982316585,9.883481763640541e-05,2,11,9,True,True,False,False,False
True,VT,VERMONT,foreign_worker_info_state,0.00014157419823593206,0.00011219087407375747,2,7,5,True,True,False,False,False
True,WY,WYOMING,foreign_worker_info_state,9.6163606348935e-05,3.739695802458583e-05,2,7,5,True,True,False,False,False
True,MP,NORTHERN MARIANA ISLANDS,foreign_worker_info_state,9.082118377399417e-05,1.335605643735208e-05,2,24,23,True,True,False,False,False
True,VIRGIN ISLANDS,VI,foreign_worker_info_state,5.6095437036878737e-05,4.541059188699709e-05,14,2,12,True,True,False,False,False
True,MH,MARSHALL ISLANDS,foreign_worker_info_state,5.3424225749408315e-06,2.6712112874704157e-06,2,16,14,True,True,False,False,False
True,CALIFORNIA,CA,employer_state,0.13657101949449998,0.11316853740497165,10,2,8,True,True,False,False,False
True,TEXAS,TX,employer_state,0.06699932151233297,0.0536886756668679,5,2,3,True,True,False,False,False
True,NEW JERSEY,NJ,employer_state,0.04346327885843115,0.03703367328948985,10,2,8,True,True,False,False,False
True,NEW YORK,NY,employer_state,0.04137439163162928,0.03361986526410266,8,2,6,True,True,False,False,False
True,ILLINOIS,IL,employer_state,0.024019531896933986,0.01958264994844561,8,2,6,True,True,False,False,False
True,WASHINGTON,WA,employer_state,0.02356008355548907,0.022152355206992158,10,2,8,True,True,False,False,False
True,MASSACHUSETTS,MA,employer_state,0.019339569721285813,0.016083363161859376,13,2,11,True,True,False,False,False
True,MICHIGAN,MI,employer_state,0.017814308076140206,0.01424289858479226,8,2,6,True,True,False,False,False
True,VIRGINIA,VA,employer_state,0.017664720244041858,0.014523375769976653,8,2,6,True,True,False,False,False
True,PENNSYLVANIA,PA,employer_state,0.01744300970718182,0.014357760670153487,12,2,10,True,True,False,False,False
True,FLORIDA,FL,employer_state,0.015861652624999334,0.014854605969622988,7,2,5,True,True,False,False,False
True,GA,GEORGIA,employer_state,0.015621243609126997,0.014745086306836698,2,7,5,True,True,False,False,False
True,NC,NORTH CAROLINA,employer_state,0.011280525266987569,0.010901213264166768,2,14,12,True,True,False,False,False
True,OHIO,OH,employer_state,0.009397321309320923,0.007113435658533718,4,2,2,True,True,False,False,False
True,MARYLAND,MD,employer_state,0.008748216966465614,0.006565837344602283,8,2,6,True,True,False,False,False
True,CONNECTICUT,CT,employer_state,0.005433243758714827,0.004442224371063302,11,2,9,True,True,False,False,False
True,WI,WISCONSIN,employer_state,0.00487763181092098,0.004605168259598997,2,9,7,True,True,False,False,False
True,ARIZONA,AZ,employer_state,0.00481085152873422,0.003739695802458583,7,2,5,True,True,False,False,False
True,MISSOURI,MO,employer_state,0.004663934907923346,0.0043193486518396645,8,2,6,True,True,False,False,False
True,MINNESOTA,MN,employer_state,0.004151062340729027,0.0035393549558983017,9,2,7,True,True,False,False,False
True,COLORADO,CO,employer_state,0.0039934608747682725,0.003277576249726201,8,2,6,True,True,False,False,False
True,INDIANA,IN,employer_state,0.003902639690994278,0.0037851063943455795,7,2,5,True,True,False,False,False
True,ALABAMA,AL,employer_state,0.0037583942814708757,0.0021984068895881527,7,2,5,True,True,False,False,False
True,SOUTH CAROLINA,SC,employer_state,0.0036836003654217037,0.0030264823887039822,14,2,12,True,True,False,False,False
True,TENNESSEE,TN,employer_state,0.0030478520790037447,0.002855524866305875,9,2,7,True,True,False,False,False
True,DISTRICT OF COLUMBIA,DC,employer_state,0.002617787061721008,0.0017816979287427676,20,2,18,True,True,False,False,False
True,KENTUCKY,KY,employer_state,0.00250292497635978,0.0019740251414406373,8,2,6,True,True,False,False,False
True,AR,ARKANSAS,employer_state,0.002500253765072309,0.0020327917897649873,2,8,6,True,True,False,False,False
True,KANSAS,KS,employer_state,0.0024361446941730197,0.001546631335445371,6,2,4,True,True,False,False,False
True,IOWA,IA,employer_state,0.0022171053686004453,0.0017656706610179452,4,2,2,True,True,False,False,False
True,LOUISIANA,LA,employer_state,0.0018698479012292915,0.001405057137209439,9,2,7,True,True,False,False,False
True,DELAWARE,DE,employer_state,0.001867176689941821,0.0018217660980548239,8,2,6,True,True,False,False,False
True,NEBRASKA,NE,employer_state,0.00179505398518012,0.0015680010257451346,8,2,6,True,True,False,False,False
True,UTAH,UT,employer_state,0.0017736842948803567,0.0012608117276860366,4,2,2,True,True,False,False,False
True,OREGON,OR,employer_state,0.001656150998231658,0.0013890298694846164,6,2,4,True,True,False,False,False
True,MISSISSIPPI,MS,employer_state,0.001226085980948921,0.00043540743985767786,11,2,9,True,True,False,False,False
True,OKLAHOMA,OK,employer_state,0.0011699905439120427,0.0010925254165754005,8,2,6,True,True,False,False,False
True,RI,RHODE ISLAND,employer_state,0.0011512920648997494,0.001052457247263344,2,12,10,True,True,False,False,False
True,NEW MEXICO,NM,employer_state,0.0010925254165754005,0.0008521164007030628,10,2,8,True,True,False,False,False
True,NEVADA,NV,employer_state,0.0010791693601380481,0.0008521164007030628,6,2,4,True,True,False,False,False
True,NEW HAMPSHIRE,NH,employer_state,0.0010310875569635807,0.0007132134137546013,13,2,11,True,True,False,False,False
True,IDAHO,ID,employer_state,0.00089752699259006,0.0008334179216907701,5,2,3,True,True,False,False,False
True,VERMONT,VT,employer_state,0.0007960209636661841,0.0004754756091697341,7,2,5,True,True,False,False,False
True,NORTH DAKOTA,ND,employer_state,0.0006491043428553113,0.0004594483414449116,12,2,10,True,True,False,False,False
True,MAINE,ME,employer_state,0.0006384194977054295,0.0004327362285702074,5,2,3,True,True,False,False,False
True,WEST VIRGINIA,WV,employer_state,0.0005021877220444383,0.00034191504479621327,13,2,11,True,True,False,False,False
True,SOUTH DAKOTA,SD,employer_state,0.000480818031744675,0.00038198321410826965,12,2,10,True,True,False,False,False
True,HAWAII,HI,employer_state,0.00042205138342032576,0.00030184687548415705,6,2,4,True,True,False,False,False
True,PR,PUERTO RICO,employer_state,0.00025643628359716,0.00025643628359716,2,11,9,True,True,False,False,False
True,MT,MONTANA,employer_state,0.00020835448042269252,0.00016828631111063624,2,7,5,True,True,False,False,False
True,WYOMING,WY,employer_state,0.00017362873368557705,0.00013623177566099122,7,2,5,True,True,False,False,False
True,ALASKA,AK,employer_state,0.00014958783209834332,0.00014157419823593206,6,2,4,True,True,False,False,False
True,MP,NORTHERN MARIANA ISLANDS,employer_state,0.00013623177566099122,5.8766648324349155e-05,2,24,23,True,True,False,False,False
True,VIRGIN ISLANDS,VI,employer_state,0.0001308893530860504,4.80818031744675e-05,14,2,12,True,True,False,False,False
True,BRITISH COLUMBIA,BC,employer_state,8.01363386241125e-06,2.6712112874704157e-06,16,2,14,True,True,False,False,False
True,CALIFORNIA,CA,job_info_work_state,0.1274141072010514,0.10583606242086536,10,2,8,True,True,False,False,False
True,TEXAS,TX,job_info_work_state,0.06643836714196419,0.05671248684428441,5,2,3,True,True,False,False,False
True,NEW JERSEY,NJ,job_info_work_state,0.04467867999423018,0.03660093706091965,10,2,8,True,True,False,False,False
True,NEW YORK,NY,job_info_work_state,0.04297711840411153,0.03542827530572013,8,2,6,True,True,False,False,False
True,WASHINGTON,WA,job_info_work_state,0.0236482335279756,0.022219135489178924,10,2,8,True,True,False,False,False
True,ILLINOIS,IL,job_info_work_state,0.023570768400638955,0.017950539851801197,8,2,6,True,True,False,False,False
True,MASSACHUSETTS,MA,job_info_work_state,0.018885463802415844,0.015383505804542128,13,2,11,True,True,False,False,False
True,VIRGINIA,VA,job_info_work_state,0.018247044304710414,0.015476998199603591,8,2,6,True,True,False,False,False
True,MICHIGAN,MI,job_info_work_state,0.017493762721643758,0.013967763822182807,8,2,6,True,True,False,False,False
True,FLORIDA,FL,job_info_work_state,0.01698356136573691,0.015362136114242362,7,2,5,True,True,False,False,False
True,GA,GEORGIA,job_info_work_state,0.01595781623134827,0.015875008681436684,2,7,5,True,True,False,False,False
True,PENNSYLVANIA,PA,job_info_work_state,0.014077283484969094,0.010543270951645731,12,2,10,True,True,False,False,False
True,NC,NORTH CAROLINA,job_info_work_state,0.011694563016545484,0.010615393656407434,2,14,12,True,True,False,False,False
True,OHIO,OH,job_info_work_state,0.010233410442299164,0.00789877177705002,4,2,2,True,True,False,False,False
True,MARYLAND,MD,job_info_work_state,0.009058077475812184,0.0066993979089758045,8,2,6,True,True,False,False,False
True,OREGON,OR,job_info_work_state,0.007273708335781944,0.004354074398576779,6,2,4,True,True,False,False,False
True,ARIZONA,AZ,job_info_work_state,0.006555152499452402,0.005024548431731853,7,2,5,True,True,False,False,False
True,CONNECTICUT,CT,job_info_work_state,0.005280984715329013,0.0043059925954023115,11,2,9,True,True,False,False,False
True,WI,WISCONSIN,job_info_work_state,0.004840234852896396,0.0042472259470779615,2,9,7,True,True,False,False,False
True,MINNESOTA,MN,job_info_work_state,0.0044235258920510105,0.003753051858895935,9,2,7,True,True,False,False,False
True,COLORADO,CO,job_info_work_state,0.004399484990463776,0.003688942787996645,8,2,6,True,True,False,False,False
True,MISSOURI,MO,job_info_work_state,0.00397476239575598,0.003956063916743686,8,2,6,True,True,False,False,False
True,SC,SOUTH CAROLINA,job_info_work_state,0.0038785987894070454,0.003731682168596172,2,14,12,True,True,False,False,False
True,INDIANA,IN,job_info_work_state,0.003843873042669929,0.0036542170412595296,7,2,5,True,True,False,False,False
True,ALABAMA,AL,job_info_work_state,0.003825174563657637,0.0022571735379125018,7,2,5,True,True,False,False,False
True,DISTRICT OF COLUMBIA,DC,job_info_work_state,0.0029329899936425172,0.00199005240916546,20,2,18,True,True,False,False,False
True,TENNESSEE,TN,job_info_work_state,0.0027940870066940557,0.0027753885276817626,9,2,7,True,True,False,False,False
True,IOWA,IA,job_info_work_state,0.002449500750610372,0.0018832039576666434,4,2,2,True,True,False,False,False
True,KENTUCKY,KY,job_info_work_state,0.002446829539322901,0.001893888802816525,8,2,6,True,True,False,False,False
True,KANSAS,KS,job_info_work_state,0.00243881590546049,0.0015252616451456075,6,2,4,True,True,False,False,False
True,DE,DELAWARE,job_info_work_state,0.0023186113975243216,0.002219776579887916,2,8,6,True,True,False,False,False
True,UTAH,UT,job_info_work_state,0.0020301205784775166,0.0015947131386198385,4,2,2,True,True,False,False,False
True,AR,ARKANSAS,job_info_work_state,0.002027449367190046,0.0014237556162217321,2,8,6,True,True,False,False,False
True,LOUISIANA,LA,job_info_work_state,0.00192594333826617,0.001533275279008019,9,2,7,True,True,False,False,False
True,NEBRASKA,NE,job_info_work_state,0.0017523146045805929,0.0015493025467328413,8,2,6,True,True,False,False,False
True,NEW HAMPSHIRE,NH,job_info_work_state,0.001373002601759794,0.0009963618102264652,13,2,11,True,True,False,False,False
True,OKLAHOMA,OK,job_info_work_state,0.001340948066310149,0.0013115647421479745,8,2,6,True,True,False,False,False
True,MISSISSIPPI,MS,job_info_work_state,0.0013035511082855633,0.0005956801171059027,11,2,9,True,True,False,False,False
True,NEW MEXICO,NM,job_info_work_state,0.0012047162906491575,0.0009776633312141726,10,2,8,True,True,False,False,False
True,NEVADA,NV,job_info_work_state,0.001135264797174927,0.0008734860910028263,6,2,4,True,True,False,False,False
True,RHODE ISLAND,RI,job_info_work_state,0.000878828513577767,0.0007479391604917166,12,2,10,True,True,False,False,False
True,VERMONT,VT,job_info_work_state,0.0007212270476170124,0.00043540743985767786,7,2,5,True,True,False,False,False
True,IDAHO,ID,job_info_work_state,0.0007051997798921899,0.0006945149347423082,5,2,3,True,True,False,False,False
True,NORTH DAKOTA,ND,job_info_work_state,0.0006624603992926633,0.0004968452994694975,12,2,10,True,True,False,False,False
True,MAINE,ME,job_info_work_state,0.0006597891880051927,0.00039533927054562164,5,2,3,True,True,False,False,False
True,WEST VIRGINIA,WV,job_info_work_state,0.0005636255816562579,0.0003899968479706808,13,2,11,True,True,False,False,False
True,HAWAII,HI,job_info_work_state,0.00047280439788226366,0.00037129836895838787,6,2,4,True,True,False,False,False
True,SOUTH DAKOTA,SD,job_info_work_state,0.0004006816931205625,0.0002965044529092162,12,2,10,True,True,False,False,False
True,PR,PUERTO RICO,job_info_work_state,0.0002938332416217458,0.00027513476260945287,2,11,9,True,True,False,False,False
True,MT,MONTANA,job_info_work_state,0.0002297241707224558,0.0001949984239853404,2,7,5,True,True,False,False,False
